Id|sentence|span|bio
0|Say it loud , say it clear , illegal #immigrants are not welcome here @user |{'start': [8, 9], 'end': [8, 9]}|O O O O O O O O B I O O O O O
1|Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.|{'start': [0, 10], 'end': [4, 13]}|B I I I I O O O O O B I I I O O O O
2|@user Care About Illegals Breaking U.S #Immigration laws abusing their kids to make a dangerous trip or sending them with Coyotes ! 73 % of Illegals on Welfare The U.S is Not Central America's Welfare State Red Hen #Ttrump #MAGA #BuildTheWall|{'start': [40], 'end': [40]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B
3|Behold the future DACA America - unless we Man The F * ck Up and Deport the illegal aliens.Sooner or later this will be us , having to take to streets crying out for our fellow Americans to MAN THE F * CK UP and save our girls . #NoDACA |{'start': [10, 17], 'end': [14, 18]}|O O O O O O O O O O B I I I I O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4|No that little tattoo of a flower on your ankle doesn't make you a whore ... Or your trampstamp ... Fuck it , YOU'RE A WHORE #WomenSuck |{'start': [14, 20, 25, 26], 'end': [14, 21, 25, 26]}|O O O O O O O O O O O O O O B O O O O O B I O O O B I
5|I don't take you places because I wanna be friends . My car doesn't run on friendship bitch it runs on ethanol ! #WomenSuck|{'start': [17, 23], 'end': [17, 23]}|O O O O O O O O O O O O O O O O O B O O O O O B
6|I suppose they ' re trying to be funny , but it ' s really just an effort to continue demonizing Germans and propagating the Holocau $ t . |{'start': [21], 'end': [21]}|O O O O O O O O O O O O O O O O O O O O O B O O O O O O O
7|it really october and my car was hot in degrees when i got in it after work i fucking hate you boomers u ruined this planet and robbed us of our fall die off already fuck|{'start': [17], 'end': [35]}|O O O O O O O O O O O O O O O O O B I I I I I I I I I I I I I I I I I I
8|ira because i cannot get behind christians killing christians without fellow white people involvement especially considering the ira never once said a bad word about infinite nigger migration and the rapes that came with it|{'start': [25], 'end': [30]}|O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O
9|Take off those glasses ! They aren't real you hipster fuck ! #WomenSuck|{'start': [10, 12], 'end': [10, 12]}|O O O O O O O O O O B O B
10|sadiq khan london moslem mayor warns tory police cuts means future terror attacks more likely it is not police cuts that make terror attacks more likely it is the moslems in the uk who make terrorist attacks more likely|{'start': [29], 'end': [38]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I I I I I
11|Honestly if they ever fired them I ' d expect they ' d do more damage to themselves since the average person lacks the intellect for basic firearms training .|{'start': [4], 'end': [4]}|O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O
12|bitches broken heart|{'start': [0], 'end': [0]}|B O O
13|#AZmonsoon lot of rain , too bad it wasn't enough to wash away the teabagger racist white trash in the state . #Tcot #teaparty #azflooding |{'start': [15], 'end': [17]}|O O O O O O O O O O O O O O O B I I O O O O O O O
14|That bitch don't love you fr bro these hoes be lying|{'start': [1, 8], 'end': [1, 8]}|O B O O O O O O B O O
15|We'll never give up ... The jews can keep trying opening our borders and sending their third world minions after the European people but WE WILL NEVER CAPITULATE ...|{'start': [6], 'end': [6]}|O O O O O O B O O O O O O O O O O O O O O O O O O O O O O
16|They are often confused with whites when they hide their tail , horns , and hooves . |{'start': [5], 'end': [5]}|O O O O O B O O O O O O O O O O O
17|you all niggers are cancers|{'start': [2], 'end': [4]}|O O B I I
18|i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say @user boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees|{'start': [0, 42], 'end': [20, 46]}|B I I I I I I I I I I I I I I I I I I I I O O O O O O O O O O O O O O O O O O O O O B I I I I
19|Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.|{'start': [12, 14], 'end': [12, 19]}|O O O O O O O O O O O O B O B I I I I I
20|Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them|{'start': [18], 'end': [18]}|O O O O O O O O O O O O O O O O O O B O O O
21|you can see the gook genes|{'start': [4], 'end': [4]}|O O O O B O
22|aw i was hoping it was the owner of salon not some chink you owns a salon <sad>|{'start': [12], 'end': [16]}|O O O O O O O O O O O O B I I I I O
23|I guess the Yonge St retail district will be smashed and looted .|{'start': [11], 'end': [11]}|O O O O O O O O O O O B O
24|i guess the nigger have been to busy to kill off this mudshark|{'start': [3, 9], 'end': [3, 12]}|O O O B O O O O O B I I I
25|These feral negroes stalk white women , rape and kill and , no one seems willing to stop them . |{'start': [2, 4, 7, 9], 'end': [2, 4, 7, 9]}|O O B O B O O B O B O O O O O O O O O O
26|@user the house negro is always the first to defend the master is the white dic that good @user|{'start': [2, 14], 'end': [3, 15]}|O O B I O O O O O O O O O O B I O O O
27|I hope @user gets Ebola and then hit by a train followed by a smack in the ugly face with a shovel #mkr #katandandre #mkrkat|{'start': [4, 7, 22, 24], 'end': [4, 10, 22, 24]}|O O O O B O O B I I I O O O O O O O O O O O B O B
28|@user @user This is the reason women in Hollywood are treated like whores . If it looks like a whore and @url|{'start': [19], 'end': [19]}|O O O O O O O O O O O O O O O O O O O B O O
29|in the end who gives a shit if salma hayek got paid to dyke out and now regrets it just another bs accusation from an aging actress|{'start': [13], 'end': [13]}|O O O O O O O O O O O O O B O O O O O O O O O O O O O
30|@user Its a joke . The picture on the right is an actual photograph of a rapefugee chimping out in Germany recently . Just happens to match the older photoshop beautifully .|{'start': [16], 'end': [16]}|O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O
31|the way he sees it is that whites are evil he is at war with whites sall good he rich now nigger rich|{'start': [21], 'end': [22]}|O O O O O O O O O O O O O O O O O O O O O B I
32|It appears the left is out of control in Germany as well , son murder and he is the bad guy , they are crazy for sure @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already |{'start': [14, 29, 30], 'end': [14, 29, 30]}|O O O O O O O O O O O O O O B O O O O O O O O O O O O O O B I O O O O O
33|Worldbank reports that in the next 30 years many refugees have to leave her homeland , specially in Africa . Who will feed them ? Is Europe able to shoot them down and protect her own homeland , before it will destroyed from Africans ? @user |{'start': [43], 'end': [43]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O
34|they would be cracking nigger skulls and navy skulls|{'start': [4], 'end': [4]}|O O O O B O O O O
35|fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk|{'start': [3, 15], 'end': [4, 25]}|O O O B I O O O O O O O O O O B I I I I I I I I I I
36|@user @user @user @user You're a SKANK ... Leave our house and country . Take your corrupt parents with you . You're all cheap white trash ! ! !|{'start': [6, 16, 23], 'end': [6, 16, 25]}|O O O O O O B O O O O O O O O O B O O O O O O B I I O O O
37|@user you shouldn't be leaving your kitchen unattended #WomenSuck|{'start': [8], 'end': [8]}|O O O O O O O O B
38|@user CNN . U SHOULD B ASHAMED U ROTTEN DIRTY BITCH 4 MAKE FUN OF SOMEONES DISABILITY , U UGLY CUNT ! I hope someone breaks ur legs ! |{'start': [9, 19], 'end': [10, 20]}|O O O O O O O O O B I O O O O O O O O B I O O O O O O O O
39|love getting ass raped by pc kids on pubs when i am on console|{'start': [2], 'end': [3]}|O O B I O O O O O O O O O O
40|@user sup faggot suck my two inch cock thru my old navy jeans|{'start': [2], 'end': [7]}|O O B I I I I I O O O O O
41|"guy : "" i want a girl who's smart . but i also want a girl who is a total and complete slut whore . "" me : "" how bout a smart slutwhore ? "" "|{'start': [22, 33], 'end': [23, 33]}|O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O B O O
42|""" Welcome to America "" Illegal Immigration is A Crime Detain and Deport Illegal Alien #FamiliesBelongTogether in THEIR COUNTRY NOT THE U.S @user "|{'start': [5], 'end': [6]}|O O O O O B I O O O O O O O O O O O O O O O O
43|Cultural Diversity : The American Culture is fastly becoming the minority culture . But we are the only ones required to take cultural diversity training ? No one should be in America without having to learn American Culture . #BuildThatWall #ice #SCOTUS #TrumpRally|{'start': [39], 'end': [39]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O
44|@user look at that nigger recording us|{'start': [4], 'end': [4]}|O O O O B O O
45|Only do much a man can take ! Fuckin bitch cunts !|{'start': [8], 'end': [10]}|O O O O O O O O B I I O
46|Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.|{'start': [10], 'end': [17]}|O O O O O O O O O O B I I I I I I I
47|Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!|{'start': [0, 9, 17], 'end': [5, 10, 20]}|B I I I I I O O O B I O O O O O O B I I I
48|@user well technically he was referring to a white bitch on go get it so ok|{'start': [8], 'end': [9]}|O O O O O O O O B I O O O O O O
49|ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol|{'start': [9], 'end': [11]}|O O O O O O O O O B I I O O O O O O O O O O O
50|"@user : If u ask me , every bitch gayor "" bi "" "|{'start': [8], 'end': [8]}|O O O O O O O O B O O O O
51|One of many Pakistani rapist.we should extradite them from our country.|{'start': [3, 6], 'end': [4, 7]}|O O O B I O B I O O O
52|( 1 ) @user < STFU These women put their babies in harms way & Subject them 2 rape & more by the coyotes who they pay 2 bring them here .|{'start': [5], 'end': [5]}|O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O
53|yeah no feminism is kike mind poison inserted into the easily malleable female brain with the goal of undermining the white man|{'start': [4], 'end': [4]}|O O O O B O O O O O O O O O O O O O O O O O
54|following on from the other socialist tory pm the equally useless europhile traitor camoron theresa sharia may decides to try the hug a moslem suicide bomber approach|{'start': [23], 'end': [25]}|O O O O O O O O O O O O O O O O O O O O O O O B I I O
55|@user @user @user bitch if only you really wanted all the smoke like yall said yall did . stfu dumb ass hoe , you done said bye 15 ! times but wanna claim you not retarded , BYE BITCH |{'start': [3, 18, 38], 'end': [3, 21, 38]}|O O O B O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O B
56|In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white men, asked for something like this nobody would allow me. Muslims can do anything they want.|{'start': [6, 27], 'end': [9, 32]}|O O O O O O B I I I O O O O O O O O O O O O O O O O O B I I I I I
57|@user did not ching chong swat his friend or something|{'start': [3], 'end': [4]}|O O O B I O O O O O
58|@user Your a crack whore look in the mirror complete trash you are you make women yourself and the great s @url|{'start': [4], 'end': [4]}|O O O O B O O O O O O O O O O O O O O O O O
59|welp gave the negro too much credit because he currently ruining my bath by coming in here taking a shit|{'start': [3, 14], 'end': [3, 19]}|O O O B O O O O O O O O O O B I I I I I
60|the master bedroom curtisn at 10 crednhill park are wide open like a hooker three holes as clare is a slag slut tart whore slag slut like|{'start': [13, 20, 23], 'end': [13, 20, 25]}|O O O O O O O O O O O O O B O O O O O O B O O B I I O
61|Tonight is the Victoria's Secret fashion show .. Let the female tweets begin about how they wish their bodies were as good ! #WomenSuck|{'start': [23], 'end': [23]}|O O O O O O O O O O O O O O O O O O O O O O O B
62|niggas can be whoever they want to be in tweets got to remember that when you are online dating|{'start': [0], 'end': [0]}|B O O O O O O O O O O O O O O O O O O
63|these bitchass niggas bashing others for binge watching got should just fuck out of here ugot ayingowakulo bani|{'start': [1, 11], 'end': [2, 14]}|O B I O O O O O O O O B I I I O O O
64|There are really few Jews and millions of those bastards on the body of our country .|{'start': [4, 9], 'end': [4, 9]}|O O O O B O O O O B O O O O O O O
65|@user @user dawg at my last job all them white boys was married or was before n i always heard my fuckin whore ass wife dude|{'start': [21], 'end': [24]}|O O O O O O O O O O O O O O O O O O O O O B I I I O
66|I ' m not a nig and need a day off to smoke blunts and drink 40 ouncers .|{'start': [5], 'end': [5]}|O O O O O B O O O O O O O O O O O O O
