S. No.,text,task_1
1,লাগিলে ইযাৰ পৰাই কলি লাগাম,NOT
2,আমি গেদা মই গেদা হা হা 🤣🤣🤣 ।,HOF
3,"মানুহে যেতিয়া নিজৰ জীৱন টো নিজৰ কাৰণে, সমাজৰ কাৰণে, দেশৰ কাৰণে, পৃথিৱীৰ কাৰণে কিমান মূল্যবান বুজি নাপায় তেতিয়া এনেকুৱা হয়",NOT
4,কতি খন কোন দিনা দেখা পাও তাকে বাত চায় আছো মই,HOF
5,"কাপোৰ খন বাৰু চাইকেল লৈ অহা মানুহজনৰ মুখত দলিয়াব লাগেনে, বেছেৰাটো গুচি গল সেইকাৰণে বেয়া পায়।🤣🤣🤣",NOT
6,কুকিলকণ্ঠী vs কাউৰী কণ্ঠী প্ৰতিযোগিতা অনুষ্ঠিত হৈছিল হয়তো,HOF
7,হাহিত ৰখাব নোৱাৰিলো,NOT
8,"অখম নহয় , অসমৰ, দেবলিনা",NOT
9,মাউন্ট এভাৰেষ্ট শৃঙ্গ বগোৱা নাই ৷,NOT
10,এতিয়া নাৰীৰ সন্মান লৈ পুৰুষে চিন্তা কৰাৰ প্ৰয়োজন নাই।,NOT
11,"বয়স টো এনেকুৱা নহয় যে কোনোবাই ইচ্ছা কৰি ধৰি ৰাখিব পাৰি , ইয়াৰ পৰা কোনো হাত সাৰিব নোৱাৰে, ",NOT
12,"মই মোবাইলটো দেখাই দিয়া মাত্ৰকে দুটাকৈ জমজ সন্তান delivery without scissoring..আমাৰ এওঁলোক অকল ৰাজনীতিকে নহয়, এওঁলোক মহা-ওঁষধি।যেনে-সৰু লৰা-ছোৱালীয়ে ভাত নাখালে, মহিলাৰ মাহেকীয়া নহলে এওঁল…",HOF
13,"কিছু বছৰ আগতেও বড়ো সকলক এই ব্যবহাৰ কৰাৰ ফলত , তেওলোকে ভাষা ত্যাগ কৰাৰ লগতে লিপিও গ্ৰহণ নকৰিলে ।",NOT
14,অবাইছ,HOF
15,এখন ঘৰত স্বামী স্ত্ৰী মাজত এনেকুৱা বুজা বুজি সকলোৱে থাকে আৰু থাকিব লাগে ভাল কথা।,NOT
16,হাহি ৰখাব নোৱাৰিলো,HOF
17,এনে মাইকিক জেগাত হাত দুখন ভৰাই নাৰি ভ্ৰু উলিয়াই আনিব মন যায় ৰেন্দি চালা ।,HOF
18,"ছা আমাৰ অসমৰ ল,ৰা বাহিৰত বহুতো আছে আমাক অসমত কিবা এটাৰ কাম দিয়ক",NOT
19,এইবোৰ হল অসমীয়াৰ নমুনা,HOF
20,বুকুত কিমান জুই লৈ আছে ঐ,HOF
21,বহুত ভাল লাগে তুমাৰ ভিদিঅ ছাই,NOT
22,এইজনীৰ এনেয়ো বেটেৰী ডাউন,NOT
23,"মানুহে ভুল কৰেই, সেই ভুলক শুদ্ধৰনি কৰিব সুজোক দিয়ক। ",NOT
24,প্ৰেমৰ জুই নে চিতাৰ জুই ধৰিব নোৱাৰি নীৰৱে এৰিলে চুচু,HOF
25,সকলো ধৰ্মতে মানৱতাৰ ধৰ্মক অগ্ৰাধিকাৰ দিছে,NOT
26,ইয়াৰ  উদ্দেশ্য যে সৎ নহয় সেইটো লুকাই নাথাকে ।,HOF
27,কুকুৰৰ নেজ হাজাৰ তেলেৰে মালিছ কৰিলেও ছিধা নহয়,NOT
28,"অসমতে যে অসমীয়াক অহমিয়া বোলে অসমক অহম বোলে ,ভাল ক বাল বোলে, দেশ ক দেহ বোলে,ভাৰতক বাৰত বোলে এই এনে ধৰনৰ কিমান যে শব্দৰ বিকৃতকৰন হৈ আছে এই বিলাকেহে অসমীয়া ভাষাৰ মাই বাপ নোহোৱা কৰি আছে আৰু কৰিব",NOT
29,মেকুৰীৰ দিঙিত টিলিঙা,HOF
30,আৰু অলপ গিলি আহক,HOF
31,এওঁ ভেকোৰ আলি  শুকুৰ আলি,HOF
32,ফিটিং কৰি থ'ব নেলাগে কেমেৰা লৈ থিয় হৈ থাকিব,NOT
33,বাতৰি কৈ থকাজনৰ মাতটো শুনিলে কান বিষাই যায়,HOF
34,তোমালোকে কলেই যে বৰষাই ইন্টাৰভিউ বা চেলফি উঠিব ই লাগিব।,NOT
35,এই এ আমাৰ অসমৰ সাংবাদিক নিবনুৱা,HOF
36,এই কথাখিনি ভালকৈ save কৰি লৈছো APSC পৰীক্ষাত আহিব পাৰে,HOF
37," মোৰ পিছফালে মানুহজন আছে নেকি,মোৰ কোনোবা সম্বন্ধীয়ই দেখা পাইছে নেকি বুলিহে ",NOT
38,প্ৰথমতে আপোনাৰ কথাত একমত,HOF
39,"ছুদিৰভাইহত, অসমীয়া ছোৱালী বোৱাৰী কিমান মাৰিছে লগতে ধৰ্ম শেষ কৰি আছে, কেলা কিন্তু তহতৰ মাত নাই",HOF
40,পাগল টোক ভাল পোৱা মানুহ আছে জানো,HOF
41,"ধৰ্মৰ নামত দয়া, মমতা দেখুওৱা মানুহ নহয় আমি",HOF
42,"এইবোৰ দিশে আমাৰ সমাজখনক এফালৰ পৰা গ্ৰাস কৰিছে, স্ত্ৰীৰ চাল-চলনে, পুৰুষ আৰু প্ৰকৃতি(স্ত্ৰী)ৰ ভাৰসাম্যতা বিকৃত কৰিছে ",NOT
43,"কুকুৰ বুলি কিয় কৈছে অসভ্য ক'ৰবাৰ, লাজ নাই।",HOF
44,পলাই যোৱাৰ পাছত ক'ব অপহৰণ কৰি নিলে ।চাল্লা ৰেন্দি বিলাক ।,HOF
45,সুদূৰ ভাই বুলিহে কলো,HOF
46,যেতিয়ালৈকে মহিলা সকলে নিজে সচেতন নহৈ তেতিয়ালৈ এইবোৰ হৈ থাকিবই,NOT
47,আমাৰ চোৰজনে কেজৰিয়ালক মাতিবলৈ  সাহস নকৰে ।,HOF
48,অসমত মুছলমানসকলে আগতেও কোনো সন্ত্ৰাসবাদী কাৰ্যকলাপ কৰা নাই পিছলৈ ও নকৰে আত্মবিশ্বাসী।কথা আৰু কাম দুউটায়ে বেলেগ এজনে মুছলমানৰ ঘৰ ভাঙীব আৰু এজনে শান্তনা দিব মাদ্ৰাছা খন জে ভাঙীছে তাৰ উত্তৰ দিয়ক বকি থাকি লাভনাই,HOF
49,ছ’চিয়াল মিডিয়াৰ ভিডিঅ’ বৰ্ণনা কৰিটোৱে সাংবাদিকতা নহয় । ক’ত কি ভাইৰেল হয় তাৰেই খবৰ লৈ থাকা নেকি ?,NOT
50,হিমন্ত sir ধৰ্মক লৈ ৰাজনিতি নকৰিৱ। আপোনাৰ news live চেনেলটোৰ সম্মুখত বহি এনে ল্লীপ্প দিলে নহৱ। 1971 /24 মাৰ্চৰ মাজ নিশাৰ পিছতেই অহা যিয়েনো ধৰ্মৰ মানুহ হʼক অসম এৰি জাৱই লাগিৱ।,HOF
51,"শ্ৰিয়াই ওপৰৰ বুটামটো খোলা ৰাখিছে, যাৰ পৰা তাইৰ ব্ৰেলেট টপস্পষ্টভাৱে দৃশ্যমান।",HOF
52,কিন্তুু মুলিম সংঘটন লাগে বা নালাগ কোনোয়ে নকয় কিয় । কবলৈ ভয় লাগে নে কি ?,HOF
53,"প্ৰক্ঋত অসমীয়া মুছলমানে এই বোৰৰ কেতিয়াওঁ নকৰে,আৰু এই মুছলমানবোৰৰ১/২/৩ লৰা ছোৱালী থাকে.",HOF
54,"জগৰীয়া কোনোনহয়,জগৰীয়া সময়. বা কাল,সকলোৰে আহে",NOT
55,"আপুনি তেন্তে বিষাক্ত সাপ, ",HOF
56,পাগলী জনিক কোনোবাই নোচুচৰাই কিয়।,HOF
57,এটিয়া ভুগিব কংগ্ৰেছ ভোট দি কি হল৷,HOF
58,ইজুনে ভাল কাম কৰে তাকে ভোট দএইবোৰ পইচা দি অনা মানুহ,HOF
59,জয় দিল্লি,NOT
60,গোটেই ভাৰতক দিল্লী মডেল লাগে,NOT
61,"ওপৰেৰে পানী ঢালি, তলে তলে গছ কটা",HOF
62,আহোম যুগত অসমত মুছলীমৰ সংখ্যা এটা তিলৰ সমান আৰু বৰ্তমান সময়ত এটা ফুটবলৰ সমান হলগৈ তথা (বৰ্তমান এক কোটি সংখ্যা ),HOF
63,বনৰিক পইচা লগে,HOF
64,তোমাৰ মা ও  হয় তো প্রসাধনৰ নামত কিবা অলপ সালনিহে ঘৰৰ পৰা বাহিৰলৈ ওলাই যায়....,NOT
65,"বুদ্ধিজীৱী এডমিন,আপোনাৰ গুণ আমাৰ অসম বাসী ৰাইজে বুজি নাপাব,",NOT
66,বৰ অবুজন মানুহ দেই এইবোৰ,NOT
67,সুকুৰ ফিউজ তাৰ ব্ৰেইন ওৱাছ হৈ ধোৱা ওলাই গৈছে প্ৰশ্ন শুনি।,HOF
68,"অসমীয়া হত তহতে ভূল কৰি আছা প্ৰতিবাদ কৰি । মইয়ো অসমীয়া । তথাপি অসমখন বাংলাদেশ হব দিব নোৱাৰা যদি হিন্দুভাষী মানুহ বিধায়ক ,মন্ত্ৰী নহয় কাৰ আগত হাতজোৰ কৰিবি । ",HOF
69,"আমাৰ চাৰে আকৌ আনৰ ভাষাতহে উজু দেখিছে, সন্তানৰ  সুবিধাৰ বাবেই",HOF
